municipio_id,Municipio,Capital,UF
1713304,Miranorte,Falso,TO
1718402,Presidente Kennedy,Falso,TO
1721257,Tupirama,Falso,TO
1716653,Pequizeiro,Falso,TO
1708304,Goianorte,Falso,TO
1711100,Itaporã do Tocantins,Falso,TO
1709302,Guaraí,Falso,TO
1708254,Fortaleza do Tabocão,Falso,TO
1716703,Colméia,Falso,TO
1706001,Couto Magalhães,Falso,TO
1703206,Bernardo Sayão,Falso,TO
1703602,Brasilândia do Tocantins,Falso,TO
1711803,Juarina,Falso,TO
1721307,Tupiratins,Falso,TO
1707553,Fátima,Falso,TO
1715507,Oliveira de Fátima,Falso,TO
1718451,Pugmil,Falso,TO
1706100,Cristalândia,Falso,TO
1716109,Paraíso do Tocantins,Falso,TO
1717503,Pium,Falso,TO
1711902,Lagoa da Confusão,Falso,TO
1704600,Chapada de Areia,Falso,TO
1715002,Nova Rosalândia,Falso,TO
1708205,Formoso do Araguaia,Falso,TO
1702000,Araguaçu,Falso,TO
1707306,Dueré,Falso,TO
1718840,Sandolândia,Falso,TO
1718899,Santa Rita do Tocantins,Falso,TO
1703701,Brejinho de Nazaré,Falso,TO
1706258,Crixás do Tocantins,Falso,TO
1720259,São Salvador do Tocantins,Falso,TO
1707652,Figueirópolis,Falso,TO
1716604,Peixe,Falso,TO
1715754,Palmeirópolis,Falso,TO
1720978,Talismã,Falso,TO
1720853,Sucupira,Falso,TO
1711506,Jaú do Tocantins,Falso,TO
1703867,Cariri do Tocantins,Falso,TO
1700707,Alvorada,Falso,TO
1700350,Aliança do Tocantins,Falso,TO
1709500,Gurupi,Falso,TO
1721000,Palmas,Verdadeiro,TO
1701101,Aparecida do Rio Negro,Falso,TO
1712009,Lajeado,Falso,TO
1718204,Porto Nacional,Falso,TO
1720655,Silvanópolis,Falso,TO
1709807,Ipueiras,Falso,TO
1713601,Monte do Carmo,Falso,TO
1721109,Tocantínia,Falso,TO
1716505,Pedro Afonso,Falso,TO
1703305,Bom Jesus do Tocantins,Falso,TO
1718881,Santa Maria do Tocantins,Falso,TO
1715101,Novo Acordo,Falso,TO
1711951,Lagoa do Tocantins,Falso,TO
1712702,Mateiros,Falso,TO
1719004,Santa Tereza do Tocantins,Falso,TO
1720150,São Félix do Tocantins,Falso,TO
1718758,Rio Sono,Falso,TO
1712405,Lizarda,Falso,TO
1717909,Ponte Alta do Tocantins,Falso,TO
1703073,Barra do Ouro,Falso,TO
1703842,Campos Lindos,Falso,TO
1709005,Goiatins,Falso,TO
1718501,Recursolândia,Falso,TO
1704105,Centenário,Falso,TO
1710904,Itapiratins,Falso,TO
1710508,Itacajá,Falso,TO
1717008,Pindorama do Tocantins,Falso,TO
1705102,Chapada da Natividade,Falso,TO
1718907,Santa Rosa do Tocantins,Falso,TO
1714203,Natividade,Falso,TO
1716208,Paranã,Falso,TO
1720499,São Valério,Falso,TO
1720937,Taipas do Tocantins,Falso,TO
1705557,Combinado,Falso,TO
1700400,Almas,Falso,TO
1718659,Rio da Conceição,Falso,TO
1720903,Taguatinga,Falso,TO
1717800,Ponte Alta do Bom Jesus,Falso,TO
1715259,Novo Jardim,Falso,TO
1702703,Aurora do Tocantins,Falso,TO
1712157,Lavandeira,Falso,TO
1707009,Dianópolis,Falso,TO
1718006,Porto Alegre do Tocantins,Falso,TO
1715150,Novo Alegre,Falso,TO
1702406,Arraias,Falso,TO
1705607,Conceição do Tocantins,Falso,TO
2100204,Alcântara,Falso,TO
2101350,Bacurituba,Falso,MA
2101905,Bequimão,Falso,MA
2102408,Cajapió,Falso,MA
2111789,Serrano do Maranhão,Falso,MA
2106805,Mirinzal,Falso,MA
2103125,Central do Maranhão,Falso,MA
2100832,Apicum-Açu,Falso,MA
2103703,Cururupu,Falso,MA
2109056,Porto Rico do Maranhão,Falso,MA
2104909,Guimarães,Falso,MA
2103109,Cedral,Falso,MA
2101301,Bacuri,Falso,MA
2107506,Paço do Lumiar,Falso,MA
2109452,Raposa,Falso,MA
2111201,São José de Ribamar,Falso,MA
2111300,São Luís,Verdadeiro,MA
2101251,Bacabeira,Falso,MA
2107100,Morros,Falso,MA
2109205,Presidente Juscelino,Falso,MA
2105104,Icatu,Falso,MA
2102374,Cachoeira Grande,Falso,MA
2110203,Santa Rita,Falso,MA
2109601,Rosário,Falso,MA
2101103,Axixá,Falso,MA
2110278,Santo Amaro do Maranhão,Falso,MA
2109403,Primeira Cruz,Falso,MA
2101707,Barreirinhas,Falso,MA
2105005,Humberto de Campos,Falso,MA
2112506,Tutóia,Falso,MA
2108058,Paulino Neves,Falso,MA
2108256,Pedro do Rosário,Falso,MA
2108405,Peri Mirim,Falso,MA
2109809,Santa Helena,Falso,MA
2109270,Presidente Sarney,Falso,MA
2107605,Palmeirândia,Falso,MA
2110500,São Bento,Falso,MA
2108603,Pinheiro,Falso,MA
2100709,Anajatuba,Falso,MA
2102507,Cajari,Falso,MA
2107456,Olinda Nova do Maranhão,Falso,MA
2101004,Arari,Falso,MA
2106508,Matinha,Falso,MA
2108306,Penalva,Falso,MA
2111003,São João Batista,Falso,MA
2112803,Viana,Falso,MA
2111706,São Vicente Ferrer,Falso,MA
2112902,Vitória do Mearim,Falso,MA
2105153,Igarapé do Meio,Falso,MA
2106904,Monção,Falso,MA
2101772,Bela Vista do Maranhão,Falso,MA
2103554,Conceição do Lago-Açu,Falso,MA
2106631,Matões do Norte,Falso,MA
2102705,Cantanhede,Falso,MA
2106755,Miranda do Norte,Falso,MA
2112704,Vargem Grande,Falso,MA
2105401,Itapecuru Mirim,Falso,MA
2107209,Nina Rodrigues,Falso,MA
2108801,Pirapemas,Falso,MA
2109304,Presidente Vargas,Falso,MA
2112407,Turiaçu,Falso,MA
2112456,Turilândia,Falso,MA
2106375,Maranhãozinho,Falso,MA
2100550,Amapá do Maranhão,Falso,MA
2106201,Luís Domingues,Falso,MA
2102606,Cândido Mendes,Falso,MA
2103158,Centro do Guilherme,Falso,MA
2104305,Godofredo Viana,Falso,MA
2102903,Carutapera,Falso,MA
2106326,Maracaçumé,Falso,MA
2104677,Governador Nunes Freire,Falso,MA
2101970,Boa Vista do Gurupi,Falso,MA
2105658,Junco do Maranhão,Falso,MA
2103174,Centro Novo do Maranhão,Falso,MA
2111029,São João do Carú,Falso,MA
2114007,Zé Doca,Falso,MA
2102002,Bom Jardim,Falso,MA
2100477,Alto Alegre do Pindaré,Falso,MA
